83.72,Recession of tendon
942,Burn of trunk
200.48,"Mantle cell lymphoma, lymph nodes of multiple sites"
79.85,Open reduction of dislocation of hip
305.80,"Antidepressant type abuse, unspecified"
67.62,Repair of fistula of cervix
88.90,"Diagnostic imaging, not elsewhere classified"
29.9,Other operations on pharynx
86.92,Electrolysis and other epilation of skin
804.95,"Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
V58.77,"Aftercare following surgery of the skin and subcutaneous tissue, NEC"
V58.75,"Aftercare following surgery of the teeth, oral cavity and digestive system, NEC"
783.41,Failure to thrive
V73.9,Screening examination for unspecified viral disease
91.6,Microscopic examination of specimen from skin and other integument
388.01,Presbyacusis
371.1,Corneal pigmentations and deposits
975.5,Poisoning by expectorants
98.14,Removal of intraluminal foreign body from larynx without incision
747.60,"Anomaly of the peripheral vascular system, unspecified site"
944.13,"Erythema [first degree] of two or more digits of hand, not including thumb"
711.4,Arthropathy associated with other bacterial diseases
41.42,Excision of lesion or tissue of spleen
059.21,Tanapox
32,Excision of lung and bronchus
567.81,Choleperitonitis
759.9,"Congenital anomaly, unspecified"
646.7,Liver and biliary tract disorders in pregnancy
394.9,Other and unspecified mitral valve diseases
736.30,Unspecified acquired deformity of hip
44.69,Other repair of stomach
E820.0,Nontraffic accident involving motor-driven snow vehicle injuring driver of motor vehicle other than motorcycle
718.57,"Ankylosis of joint, ankle and foot"
795,"Other and nonspecific abnormal cytological, histological, immunological and DNA test findings"
770.87,Respiratory arrest of newborn
770.85,Aspiration of postnatal stomach contents without respiratory symptoms
141.8,Malignant neoplasm of other sites of tongue
820-829.99,FRACTURE OF LOWER LIMB
64.2,Local excision or destruction of lesion of penis
385.83,Retained foreign body of middle ear
852.30,"Subdural hemorrhage following injury with open intracranial wound, unspecified state of consciousness"
297.2,Paraphrenia
550.13,"Inguinal hernia, with obstruction, without mention of gangrene, bilateral, recurrent"
16.49,Other enucleation of eyeball
76.3,Partial ostectomy of facial bone
550.11,"Inguinal hernia, with obstruction, without mention of gangrene, unilateral or unspecified,recurrent"
852.32,"Subdural hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness"
637.5,Unspecified abortion complicated by shock
931,Foreign body in ear
015,Tuberculosis of bones and joints
V42.8,Other specified organ or tissue replaced by transplant
V62.6,Refusal of treatment for reasons of religion or conscience
63.99,"Other operations on spermatic card, epididymis, and vas deferens"
964.2,Poisoning by anticoagulants
99.98,Extraction of milk from lactating breast
87.75,Percutaneous pyelogram
E860.4,Accidental poisoning by fusel oil
788.63,Urgency of urination
718.87,"Other joint derangement, not elsewhere classified, ankle and foot"
017.11,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done"
707,Chronic ulcer of skin
295.4,Schizophreniform disorder
209.2,Malignant carcinoid tumors of other and unspecified sites
378,Strabismus and other disorders of binocular eye movements
94.38,Supportive verbal psychotherapy
09.73,Repair of canaliculus
90.73,"Microscopic examination of specimen from lymph node and of lymph, culture and sensitivity"
96.03,Insertion of esophageal obturator airway
279.09,Other deficiency of humoral immunity
996.51,Mechanical complication due to corneal graft
E826.2,Pedal cycle accident injuring rider of animal
833.12,Open dislocation of radiocarpal (joint)
E826.0,Pedal cycle accident injuring pedestrian
833.10,"Open dislocation of wrist, unspecified part"
277.02,Cystic fibrosis with pulmonary manifestations
277.00,Cystic fibrosis without mention of meconium ileus
011.5,Tuberculous bronchiectasis
724.09,"Spinal stenosis, other region"
471.0,Polyp of nasal cavity
18.01,Piercing of ear lobe
264.3,Vitamin A deficiency with corneal ulceration and xerosis
29.99,Other operations on pharynx
120,Schistosomiasis [bilharziasis]
173.0,Other malignant neoplasm of skin of lip
376.50,"Enophthalmos, unspecified as to cause"
036.40,"Meningococcal carditis, unspecified"
91.53,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture and sensitivity"
E885.9,"Fall from other slipping, tripping, or stumbling"
13.51,Extracapsular extraction of lens by temporal inferior route
839.41,"Closed dislocation, coccyx"
96.1,Other nonoperative insertion
692.9,"Contact dermatitis and other eczema, unspecified cause"
277.7,Dysmetabolic syndrome X
004,Shigellosis
876.0,"Open wound of back, without mention of complication"
528.72,Excessive keratinized residual ridge mucosa
274.82,"Gouty tophi of other sites, except ear"
969.4,Poisoning by benzodiazepine-based tranquilizers
648.10,"Thyroid dysfunction of mother, unspecified as to episode of care or not applicable"
686.01,Pyoderma gangrenosum
953.2,Injury to lumbar nerve root
E994.9,Injury due to war operations by unspecified destruction of aircraft
E953.9,Suicide and self-inflicted injury by unspecified means
880.1,"Open wound of shoulder and upper arm, complicated"
264.6,Vitamin A deficiency with xerophthalmic scars of cornea
244.8,Other specified acquired hypothyroidism
804.39,"Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with concussion, unspecified"
551.3,Diaphragmatic hernia with gangrene
474.1,Hypertrophy of tonsils and adenoids
659.51,"Elderly primigravida, delivered, with or without mention of antepartum condition"
89.5,Other nonoperative cardiac and vascular diagnostic procedures
802.32,"Open fracture of mandible, subcondylar"
045.90,"Acute poliomyelitis, unspecified, poliovirus, unspecified type"
71.3,Other local excision or destruction of vulva and perineum
296.61,"Bipolar I disorder, most recent episode (or current) mixed, mild"
795.31,Nonspecific positive findings for anthrax
38.14,"Endarterectomy, aorta"
275.9,Unspecified disorder of mineral metabolism
711.00,"Pyogenic arthritis, site unspecified"
589,Small kidney of unknown cause
382.02,Acute suppurative otitis media in diseases classified elsewhere
593.4,Other ureteric obstruction
253.3,Pituitary dwarfism
676,Other disorders of the breast associated with childbirth and disorders of lactation
901.82,Injury to internal mammary artery or vein
86.95,"Insertion or replacement of multiple array neurostimulator pulse generator, not specified as rechargeable"
52.94,Endoscopic removal of stone(s) from pancreatic duct
24.39,Other operations on gum
51.10,Endoscopic retrograde cholangiopancreatography [ERCP]
85.11,Closed [percutaneous] [needle] biopsy of breast
956.3,Injury to peroneal nerve
635.00,"Legally induced abortion, complicated by genital tract and pelvic infection, unspecified"
97.21,Replacement of nasal packing
176.1,"Kaposi's sarcoma, soft tissue"
363.40,"Choroidal degeneration, unspecified"
295.14,"Disorganized type schizophrenia, chronic with acute exacerbation"
V52.1,Fitting and adjustment of artificial leg (complete) (partial)
64.92,Incision of penis
33.52,Bilateral lung transplantation
07.9,Other operations on thymus
639.5,Shock following abortion or ectopic and molar pregnancies
11.61,Lamellar keratoplasty with autograft
45.62,Other partial resection of small intestine
656.83,"Other specified fetal and placental problems, affecting management of mother, antepartum condition or complication"
846.8,Sprain of other specified sites of sacroiliac region
525.50,"Partial edentulism, unspecified"
996.95,Complication of reattached foot and toe(s)
367.9,Unspecified disorder of refraction and accommodation
996.93,Complications of reattached finger(s)
345.71,"Epilepsia partialis continua, with intractable epilepsy"
850.11,"Concussion, with loss of consciousness of 30 minutes or less"
832.00,"Closed dislocation of elbow, unspecified"
10,Operations on conjunctiva
770.6,Transitory tachypnea of newborn
662.03,"Prolonged first stage of labor, antepartum condition or complication"
E007.1,Activities involving american flag or touch football
170-176.99,"MALIGNANT NEOPLASM OF BONE, CONNECTIVE TISSUE, SKIN, AND BREAST"
373.1,Hordeolum and other deep inflammation of eyelid
77.82,"Other partial ostectomy, humerus"
188.1,Malignant neoplasm of dome of urinary bladder
41.99,Other operations on spleen
516.30,"Idiopathic interstitial pneumonia, not otherwise specified"
904,Injury to blood vessels of lower extremity and unspecified sites
724.4,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
744.2,Other specified congenital anomalies of ear
404.1,"Hypertensive heart and renal disease, benign"
940-949.99,BURNS
87.06,Contrast radiogram of nasopharynx
364.03,"Secondary iridocyclitis, infectious"
86.26,Ligation of dermal appendage
291.81,Alcohol withdrawal
755.5,"Other congenital anomalies of upper limb, including shoulder girdle"
086.4,Rhodesian trypanosomiasis
508.8,Respiratory conditions due to other specified external agents
797,Senility without mention of psychosis
143.8,Malignant neoplasm of other sites of gum
968.3,Poisoning by intravenous anesthetics
017.55,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
99.73,Therapeutic erythrocytapheresis
015.75,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
015.73,"Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy"
99.60,"Cardiopulmonary resuscitation, not otherwise specified"
173.02,Squamous cell carcinoma of skin of lip
V69.8,Other problems related to lifestyle
711.44,"Arthropathy associated with other bacterial diseases, hand"
331.0,Alzheimer's disease
671.1,Varicose veins of vulva and perineum in pregnancy and the puerperium
94.29,Other psychiatric somatotherapy
711.46,"Arthropathy associated with other bacterial diseases, lower leg"
93.33,Other hydrotherapy
851.99,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with concussion, unspecified"
95.31,Fitting and dispensing of spectacles
002.2,Paratyphoid fever B
709,Other disorders of skin and subcutaneous tissue
651.03,"Twin pregnancy, antepartum condition or complication"
682.4,"Cellulitis and abscess of hand, except fingers and thumb"
713.4,Arthropathy associated with respiratory disorders
